Timestamp,Real open,Real close
1578085200000,7317.01000000,7283.00000000
1578088800000,7281.69000000,7300.56000000
1578092400000,7301.32000000,7344.96000000
1578096000000,7345.00000000,7302.24000000
1578099600000,7304.96000000,7309.16000000
1578103200000,7308.71000000,7327.83000000
1578106800000,7328.21000000,7333.11000000
1578110400000,7333.14000000,7334.86000000
1578114000000,7334.59000000,7344.69000000
1578117600000,7344.70000000,7354.96000000
1578121200000,7354.95000000,7348.11000000
1578124800000,7348.04000000,7346.59000000
1578128400000,7346.40000000,7363.88000000
1578132000000,7364.32000000,7318.30000000
1578135600000,7318.15000000,7336.45000000
1578139200000,7336.75000000,7312.89000000
1578142800000,7312.79000000,7303.88000000
1578146400000,7303.72000000,7316.72000000
1578150000000,7315.51000000,7318.99000000
1578153600000,7318.98000000,7307.11000000
1578157200000,7308.00000000,7351.99000000
1578160800000,7351.36000000,7306.92000000
1578164400000,7306.60000000,7334.83000000
1578168000000,7334.89000000,7341.06000000
1578171600000,7340.90000000,7350.68000000
1578175200000,7350.72000000,7350.24000000
1578178800000,7350.05000000,7354.11000000
1578182400000,7354.19000000,7373.48000000
1578186000000,7373.43000000,7459.18000000
1578189600000,7459.91000000,7443.79000000
1578193200000,7443.92000000,7475.99000000
1578196800000,7476.00000000,7457.14000000
1578200400000,7457.18000000,7459.12000000
1578204000000,7458.51000000,7457.50000000
1578207600000,7457.83000000,7463.63000000
1578211200000,7463.64000000,7430.05000000
1578214800000,7430.00000000,7427.74000000
1578218400000,7427.70000000,7415.12000000
1578222000000,7415.10000000,7422.33000000
1578225600000,7422.27000000,7457.01000000
1578229200000,7457.79000000,7431.15000000
1578232800000,7431.16000000,7431.82000000
1578236400000,7431.71000000,7468.42000000
1578240000000,7467.91000000,7461.38000000
1578243600000,7461.26000000,7464.65000000
1578247200000,7464.62000000,7438.72000000
1578250800000,7439.02000000,7444.14000000
1578254400000,7444.71000000,7431.60000000
1578258000000,7431.01000000,7368.52000000
1578261600000,7367.62000000,7355.73000000
1578265200000,7355.73000000,7358.75000000
1578268800000,7357.64000000,7378.75000000
1578272400000,7378.97000000,7423.50000000
1578276000000,7423.06000000,7551.44000000
1578279600000,7551.47000000,7540.90000000
1578283200000,7540.90000000,7529.52000000
1578286800000,7529.52000000,7532.85000000
1578290400000,7532.85000000,7520.00000000
1578294000000,7520.00000000,7507.91000000
1578297600000,7508.18000000,7547.55000000
1578301200000,7547.88000000,7550.78000000
1578304800000,7550.84000000,7561.22000000
1578308400000,7561.27000000,7544.72000000
1578312000000,7544.72000000,7557.42000000
1578315600000,7557.77000000,7528.64000000
1578319200000,7528.59000000,7547.93000000
1578322800000,7548.10000000,7519.99000000
1578326400000,7519.05000000,7529.24000000
1578330000000,7529.01000000,7558.48000000
1578333600000,7558.78000000,7533.00000000
1578337200000,7532.50000000,7539.90000000
1578340800000,7539.74000000,7551.25000000
1578344400000,7551.24000000,7578.42000000
1578348000000,7578.42000000,7712.63000000
1578351600000,7712.58000000,7758.00000000
1578355200000,7758.90000000,7888.42000000
1578358800000,7889.64000000,7905.67000000
1578362400000,7905.67000000,7896.20000000
1578366000000,7896.08000000,7894.90000000
1578369600000,7894.71000000,7840.83000000
1578373200000,7839.75000000,7869.33000000
1578376800000,7869.29000000,7872.91000000
1578380400000,7873.05000000,7883.37000000
1578384000000,7883.11000000,7883.97000000
1578387600000,7884.32000000,7856.26000000
1578391200000,7856.26000000,7889.24000000
1578394800000,7888.12000000,7895.14000000
1578398400000,7895.13000000,7869.05000000
1578402000000,7869.02000000,7847.99000000
1578405600000,7847.99000000,7838.80000000
1578409200000,7841.16000000,7764.59000000
1578412800000,7764.04000000,7912.18000000
1578416400000,7912.18000000,7938.33000000
1578420000000,7937.88000000,8037.69000000
1578423600000,8038.54000000,8073.69000000
1578427200000,8073.69000000,8162.66000000
1578430800000,8162.57000000,8016.44000000
1578434400000,8016.43000000,8049.55000000
1578438000000,8049.83000000,8145.28000000
1578441600000,8145.92000000,8431.82000000
1578445200000,8430.53000000,8370.92000000
1578448800000,8370.93000000,8278.59000000
1578452400000,8278.07000000,8300.34000000
1578456000000,8300.34000000,8344.63000000
1578459600000,8343.92000000,8334.77000000
1578463200000,8334.76000000,8339.13000000
1578466800000,8339.14000000,8297.26000000
1578470400000,8297.27000000,8312.04000000
1578474000000,8312.05000000,8297.21000000
1578477600000,8296.98000000,8326.98000000
1578481200000,8327.06000000,8332.47000000
1578484800000,8332.20000000,8286.16000000
1578488400000,8285.92000000,8384.99000000
1578492000000,8384.99000000,8310.98000000
1578495600000,8310.98000000,8305.97000000
1578499200000,8306.09000000,8115.00000000
1578502800000,8115.00000000,8077.68000000
1578506400000,8077.68000000,8053.70000000
1578510000000,8053.70000000,7963.35000000
1578513600000,7963.56000000,8046.03000000
1578517200000,8046.42000000,8016.06000000
1578520800000,8017.36000000,8076.13000000
1578524400000,8076.13000000,8055.98000000
1578528000000,8054.72000000,7956.55000000
1578531600000,7956.88000000,8004.80000000
1578535200000,8004.05000000,7982.75000000
1578538800000,7983.09000000,7954.72000000
1578542400000,7954.96000000,7966.85000000
1578546000000,7966.75000000,7941.83000000
1578549600000,7941.99000000,7908.48000000
1578553200000,7908.71000000,7949.84000000
1578556800000,7949.57000000,7933.10000000
1578560400000,7932.51000000,7872.35000000
1578564000000,7872.36000000,7896.38000000
1578567600000,7895.56000000,7878.56000000
1578571200000,7878.02000000,7900.91000000
1578574800000,7901.49000000,7897.52000000
1578578400000,7897.54000000,7885.50000000
1578582000000,7885.50000000,7907.05000000
1578585600000,7907.05000000,7818.15000000
1578589200000,7818.15000000,7798.60000000
1578592800000,7798.23000000,7810.64000000
1578596400000,7810.68000000,7917.54000000
1578600000000,7917.55000000,7818.30000000
1578603600000,7819.97000000,7789.96000000
1578607200000,7789.99000000,7811.31000000
1578610800000,7811.31000000,7817.76000000
1578614400000,7817.74000000,7820.01000000
1578618000000,7820.25000000,7804.99000000
1578621600000,7804.99000000,7803.68000000
1578625200000,7803.68000000,7818.02000000
1578628800000,7818.06000000,7795.30000000
1578632400000,7795.33000000,7748.86000000
1578636000000,7748.00000000,7748.64000000
1578639600000,7747.25000000,7752.98000000
1578643200000,7753.05000000,7706.53000000
1578646800000,7706.52000000,7716.47000000
1578650400000,7716.02000000,7771.87000000
1578654000000,7772.12000000,7841.69000000
1578657600000,7841.03000000,7893.98000000
1578661200000,7893.98000000,7870.40000000
1578664800000,7870.70000000,7978.65000000
1578668400000,7978.65000000,8066.60000000
1578672000000,8067.50000000,7952.65000000
1578675600000,7952.23000000,7966.30000000
1578679200000,7966.30000000,8022.16000000
1578682800000,8022.15000000,8059.49000000
1578686400000,8058.05000000,8073.16000000
1578690000000,8074.00000000,8049.99000000
1578693600000,8048.24000000,8090.13000000
1578697200000,8090.13000000,8197.02000000
1578700800000,8198.86000000,8168.92000000
1578704400000,8168.39000000,8204.86000000
1578708000000,8204.84000000,8206.19000000
1578711600000,8206.00000000,8158.49000000
1578715200000,8158.83000000,8117.82000000
1578718800000,8118.40000000,8083.41000000
1578722400000,8083.41000000,8124.99000000
1578726000000,8124.99000000,8074.18000000
1578729600000,8074.17000000,8052.96000000
1578733200000,8052.96000000,8114.22000000
1578736800000,8114.20000000,8054.03000000
1578740400000,8054.03000000,8045.95000000
1578744000000,8045.89000000,8061.95000000
1578747600000,8061.93000000,8090.02000000
1578751200000,8090.73000000,8053.75000000
1578754800000,8054.00000000,8099.73000000
1578758400000,8099.16000000,8169.46000000
1578762000000,8168.35000000,8160.56000000
1578765600000,8160.00000000,8169.14000000
1578769200000,8169.64000000,8151.78000000
1578772800000,8151.77000000,8161.81000000
1578776400000,8161.81000000,8105.00000000
1578780000000,8106.12000000,8082.57000000
1578783600000,8082.58000000,8020.01000000
1578787200000,8020.01000000,8060.89000000
1578790800000,8060.24000000,8065.53000000
1578794400000,8065.63000000,8095.00000000
1578798000000,8095.00000000,8091.33000000
1578801600000,8090.70000000,8073.79000000
1578805200000,8073.03000000,8106.05000000
1578808800000,8105.96000000,8083.84000000
1578812400000,8083.43000000,8097.51000000
1578816000000,8097.51000000,8140.59000000
1578819600000,8138.71000000,8137.50000000
1578823200000,8137.49000000,8122.12000000
1578826800000,8120.87000000,8114.08000000
1578830400000,8114.08000000,8132.19000000
1578834000000,8132.19000000,8165.00000000
1578837600000,8165.08000000,8137.17000000
1578841200000,8137.64000000,8152.70000000
1578844800000,8152.63000000,8101.98000000
1578848400000,8101.02000000,8101.47000000
1578852000000,8101.47000000,8119.31000000
1578855600000,8119.91000000,8132.01000000
1578859200000,8131.40000000,8138.74000000
1578862800000,8138.76000000,8102.32000000
1578866400000,8102.21000000,8159.30000000
1578870000000,8159.91000000,8184.98000000
1578873600000,8184.97000000,8152.73000000
1578877200000,8152.72000000,8155.98000000
1578880800000,8155.98000000,8113.12000000
1578884400000,8112.97000000,8105.77000000
1578888000000,8105.73000000,8118.33000000
1578891600000,8118.07000000,8096.23000000
1578895200000,8096.18000000,8063.11000000
1578898800000,8063.11000000,8075.26000000
1578902400000,8075.26000000,8129.99000000
1578906000000,8131.03000000,8113.69000000
1578909600000,8113.67000000,8125.69000000
1578913200000,8125.66000000,8075.01000000
1578916800000,8076.86000000,8092.85000000
1578920400000,8093.16000000,8086.78000000
1578924000000,8087.24000000,8090.00000000
1578927600000,8090.00000000,8084.89000000
1578931200000,8085.07000000,8109.96000000
1578934800000,8109.38000000,8098.22000000
1578938400000,8098.21000000,8107.93000000
1578942000000,8107.92000000,8111.83000000
1578945600000,8111.83000000,8156.84000000
1578949200000,8155.79000000,8136.00000000
1578952800000,8136.00000000,8116.72000000
1578956400000,8116.72000000,8110.34000000
1578960000000,8110.34000000,8270.00000000
1578963600000,8270.01000000,8431.83000000
1578967200000,8431.83000000,8431.14000000
1578970800000,8431.17000000,8461.84000000
1578974400000,8461.83000000,8524.00000000
1578978000000,8523.92000000,8477.37000000
1578981600000,8477.48000000,8509.54000000
1578985200000,8509.53000000,8509.99000000
1578988800000,8509.85000000,8511.79000000
1578992400000,8511.87000000,8504.73000000
1578996000000,8504.73000000,8518.12000000
1578999600000,8518.13000000,8526.87000000
1579003200000,8526.87000000,8499.99000000
1579006800000,8498.81000000,8587.40000000
1579010400000,8588.86000000,8690.00000000
1579014000000,8689.99000000,8675.48000000
1579017600000,8673.18000000,8677.05000000
1579021200000,8677.22000000,8773.35000000
1579024800000,8771.10000000,8769.35000000
1579028400000,8769.07000000,8767.56000000
1579032000000,8765.51000000,8688.19000000
1579035600000,8688.18000000,8734.93000000
1579039200000,8735.92000000,8735.87000000
1579042800000,8736.00000000,8810.01000000
1579046400000,8814.64000000,8772.86000000
1579050000000,8774.15000000,8777.99000000
1579053600000,8778.00000000,8813.83000000
1579057200000,8813.99000000,8727.61000000
1579060800000,8727.00000000,8597.51000000
1579064400000,8597.41000000,8612.29000000
1579068000000,8612.01000000,8680.58000000
1579071600000,8680.82000000,8627.13000000
1579075200000,8626.80000000,8638.36000000
1579078800000,8638.60000000,8755.04000000
1579082400000,8756.06000000,8798.94000000
1579086000000,8799.81000000,8730.00000000
1579089600000,8730.00000000,8764.66000000
1579093200000,8765.20000000,8889.96000000
1579096800000,8889.97000000,8856.17000000
1579100400000,8855.69000000,8762.74000000
1579104000000,8762.73000000,8778.68000000
1579107600000,8779.43000000,8797.00000000
1579111200000,8797.00000000,8746.85000000
1579114800000,8746.85000000,8761.57000000
1579118400000,8761.57000000,8814.21000000
1579122000000,8815.21000000,8830.73000000
1579125600000,8830.61000000,8860.01000000
1579129200000,8861.91000000,8821.41000000
1579132800000,8820.01000000,8761.02000000
1579136400000,8760.67000000,8664.43000000
1579140000000,8663.63000000,8650.00000000
1579143600000,8650.00000000,8640.01000000
1579147200000,8640.01000000,8651.77000000
1579150800000,8651.55000000,8700.55000000
1579154400000,8700.66000000,8721.22000000
1579158000000,8721.37000000,8680.00000000
1579161600000,8679.99000000,8675.44000000
1579165200000,8675.99000000,8645.41000000
1579168800000,8645.71000000,8658.00000000
1579172400000,8658.32000000,8724.91000000
1579176000000,8724.82000000,8720.00000000
1579179600000,8720.00000000,8695.29000000
1579183200000,8695.27000000,8686.18000000
1579186800000,8686.57000000,8710.02000000
1579190400000,8710.01000000,8660.19000000
1579194000000,8660.19000000,8678.13000000
1579197600000,8678.13000000,8684.19000000
1579201200000,8684.00000000,8705.00000000
